Wall time,Step,Value
1701973265.5486171,12288,-8.522148132324219
1701973311.451651,24576,-8.50285816192627
1701973352.2301245,36864,-8.503803253173828
1701973397.2231164,49152,-8.447474479675293
1701973426.1328719,61440,-8.391735076904297
1701973475.8913803,73728,-8.31979751586914
1701973519.7099116,86016,-8.374192237854004
1701973559.3300407,98304,-8.349213600158691
1701973591.3595817,110592,-8.26172924041748
1701973620.4632351,122880,-8.220902442932129
1701973653.5464432,135168,-8.17590618133545
1701973682.6049109,147456,-8.14133071899414
1701973708.3647273,159744,-8.084035873413086
1701973759.403167,172032,-8.027681350708008
1701973799.1580195,184320,-7.99191951751709
1701973830.2214575,196608,-7.932076930999756
1701973855.322298,208896,-7.942902088165283
1701973904.8641214,221184,-7.926069259643555
1701973950.784965,233472,-7.8816304206848145
1701974006.1984122,245760,-7.8957648277282715
