Wall time,Step,Value
1701973265.5486171,12288,9.900259017944336
1701973312.3187776,24576,9.228395462036133
1701973352.2301245,36864,11.031075477600098
1701973398.4224749,49152,14.89710807800293
1701973426.1323283,61440,17.69478416442871
1701973477.0581741,73728,18.22638702392578
1701973519.7099116,86016,19.431453704833984
1701973560.6449034,98304,20.01397705078125
1701973591.3595817,110592,19.356618881225586
1701973621.5181644,122880,19.157495498657227
1701973653.5464432,135168,19.400508880615234
1701973683.5756595,147456,19.7503719329834
1701973708.3643324,159744,19.74004554748535
1701973760.9849322,172032,19.05239486694336
1701973799.1580195,184320,19.054588317871094
1701973831.2013133,196608,18.855239868164062
1701973855.3217938,208896,18.84664535522461
1701973906.4949622,221184,19.42038345336914
1701973950.784965,233472,18.919109344482422
1701974008.1212084,245760,19.222795486450195
