Wall time,Step,Value
1701973265.5486171,12288,23.0
1701973312.3187776,24576,22.0
1701973352.2301245,36864,31.0
1701973398.4224749,49152,38.0
1701973426.1323283,61440,42.0
1701973477.0581741,73728,42.0
1701973519.7099116,86016,48.0
1701973560.6449034,98304,48.0
1701973591.3595817,110592,52.0
1701973621.518704,122880,51.0
1701973653.5464432,135168,51.0
1701973683.5756595,147456,50.0
1701973708.3643324,159744,51.0
1701973760.9849322,172032,53.0
1701973799.1580195,184320,51.0
1701973831.2013133,196608,56.0
1701973855.3217938,208896,50.0
1701973906.4949622,221184,55.0
1701973950.784965,233472,53.0
1701974008.1227543,245760,54.0
