Wall time,Step,Value
1701973265.5491242,12288,4.421399116516113
1701973311.4527001,24576,2.346010446548462
1701973352.2311213,36864,1.7343963384628296
1701973397.2242212,49152,1.3511773347854614
1701973426.1357114,61440,1.186163067817688
1701973475.8913803,73728,1.5857269763946533
1701973519.7116416,86016,1.5520083904266357
1701973559.3310378,98304,1.3131678104400635
1701973591.3605788,110592,1.2671020030975342
1701973620.4642894,122880,1.2970898151397705
1701973653.547509,135168,1.4195934534072876
1701973682.6059306,147456,1.5691214799880981
1701973708.3657281,159744,1.5991008281707764
1701973759.4043787,172032,1.4487498998641968
1701973799.1591008,184320,1.4129880666732788
1701973830.2224274,196608,1.2352548837661743
1701973855.322298,208896,1.3034734725952148
1701973904.8774388,221184,1.3245221376419067
1701973950.7869613,233472,1.391126036643982
1701974006.2004082,245760,1.4612470865249634
